iso3,country,continent,life_expectancy_at_birth,population,pop_density
AFG,Afghanistan,Asia,62.5751,38972230,63.0587
AGO,Angola,Africa,62.2612,33428485,28.5466
ALB,Albania,Europe,76.9893,2866849,98.8702
DZA,Algeria,Africa,74.4528,43451666,18.8531
AND,Andorra,Europe,79.0234,77700,170.5641
ARG,Argentina,America,75.8921,45036032,16.3683
ARM,Armenia,Asia,72.173,2805608,93.4831
ATG,Antigua and Barbuda,America,78.8406,92664,212.1335
AUS,Australia,Oceania,84.3239,25670051,3.4032
AUT,Austria,Europe,81.5036,8907777,106.5877
AZE,Azerbaijan,Asia,66.8679,10284951,119.6082
BDI,Burundi,Africa,61.5663,12220227,463.0874
BEL,Belgium,Europe,80.7884,11561717,381.8111
BEN,Benin,Africa,60.088,12643123,118.5635
BFA,Burkina Faso,Africa,59.7306,21522626,83.0641
BHS,Bahamas,America,72.6766,406471,29.4043
BGD,Bangladesh,Asia,71.9678,167420951,1160.035
BHR,Bahrain,Asia,79.1735,1477469,1924.4876
BGR,Bulgaria,Europe,73.6453,6979175,61.1654
BRB,Barbados,America,77.3929,280693,654.9651
BLR,Belarus,Europe,72.5132,9633740,45.9295
BIH,Bosnia and Herzegovina,Europe,76.2254,3318407,63.1437
BLZ,Belize,America,72.854,394921,17.6466
BOL,Bolivia,America,64.4667,11936162,11.1272
BRA,Brazil,America,74.0089,213196304,25.2841
BTN,Bhutan,Asia,71.6094,772506,20.3796
BRN,Brunei,Asia,74.7949,441725,77.8841
BWA,Botswana,Africa,65.6471,2546402,4.5194
CAF,Central African Republic,Africa,54.6042,5343020,8.9555
CAN,Canada,America,82.0471,37888705,3.8513
CHL,Chile,America,79.3769,19300315,25.9274
CHN,China,Asia,78.0766,1424929781,146.8933
CIV,Ivory Coast,Africa,59.0318,26811790,87.3295
KHM,Cambodia,Asia,70.416,16396860,92.6221
CMR,Cameroon,Africa,60.8328,26491087,58.7128
COD,The Democratic Republic of the Congo,Africa,59.7392,92853164,42.2244
COG,Congo,Africa,63.7852,5702174,17.4574
CPV,Cabo Verde,Africa,74.8077,582640,147.0739
COL,Colombia,America,74.7692,50930662,45.4339
COM,Comoros,Africa,64.1665,806166,449.3953
TCD,Chad,Africa,52.7774,16644701,13.8032
CRI,Costa Rica,America,79.277,5123105,101.3861
CUB,Cuba,America,77.5673,11300698,102.0366
CYP,Cyprus,Asia,81.3905,1237537,135.2814
CZE,Czechia,Europe,78.5746,10530953,133.0627
DEU,Germany,Europe,81.1472,83328988,233.4544
DJI,Djibouti,Africa,62.6943,1090156,48.3125
DMA,Dominica,America,73.649,71995,96.8535
HRV,Croatia,Europe,77.9845,4096868,71.2153
DNK,Denmark,Europe,81.5449,5825641,136.4984
DOM,Dominican Republic,America,72.8894,10999664,230.7087
ECU,Ecuador,America,72.1535,17588595,65.0229
EGY,Egypt,Africa,70.9905,107465134,110.7188
ERI,Eritrea,Africa,67.1334,3555868,31.3268
EST,Estonia,Europe,78.3431,1329444,29.3201
ETH,Ethiopia,Africa,65.3705,117190911,111.7268
FIN,Finland,Europe,81.8657,5529468,16.3722
FJI,Fiji,Oceania,67.9244,920422,50.8847
FRA,France,Europe,82.2104,64480053,117.1419
SLV,El Salvador,America,71.0609,6292731,301.145
FSM,Micronesia,Oceania,70.674,112106,162.6268
GNQ,Equatorial Guinea,Africa,60.7083,1596049,59.7094
GAB,Gabon,Africa,66.5305,2292573,8.9252
GEO,Georgia,Asia,72.7653,3765912,53.7214
SWZ,Eswatini,Africa,59.6922,1180655,69.2047
GHA,Ghana,Africa,64.114,32180401,140.3406
GIN,Guinea,Africa,59.3273,13205153,56.3716
GMB,Gambia,Africa,62.6125,2573995,253.1567
GNB,Guinea-Bissau,Africa,59.9988,2015828,58.2856
GRC,Greece,Europe,80.9092,10512232,78.68
GRD,Grenada,America,74.9238,123663,364.6453
GTM,Guatemala,America,71.7969,17362718,163.8725
GUY,Guyana,America,68.4858,797202,3.7621
HKG,Hong Kong,Asia,85.1968,7500958,6783.3922
HND,Honduras,America,71.4619,10121763,92.7431
HTI,Haiti,America,64.0518,11306801,417.4773
HUN,Hungary,Europe,75.7297,9750573,107.1431
IDN,Indonesia,Asia,68.8077,271857970,144.6529
IND,India,Asia,70.1499,1396387127,431.0675
IRL,Ireland,Europe,82.4699,4946119,71.4799
IRN,Iran,Asia,74.832,87290193,53.7258
IRQ,Iraq,Asia,69.1228,42556984,101.5158
ISL,Iceland,Europe,82.5755,366669,3.6204
ISR,Israel,Asia,82.3598,8757489,435.1617
ITA,Italy,Europe,82.3953,59500579,195.9191
JAM,Jamaica,America,71.8686,2820436,257.2447
JOR,Jordan,Asia,75.1843,10928721,126.3221
JPN,Japan,Asia,84.6879,125244761,327.9753
KAZ,Kazakhstan,Asia,70.0304,18979243,7.1188
KEN,Kenya,Africa,62.6755,51985780,93.0919
KGZ,Kyrgyzstan,Asia,69.6291,6424874,33.1612
KIR,Kiribati,Oceania,67.2659,126463,161.815
KNA,Saint Kitts and Nevis,America,71.6266,47642,182.5939
KOR,South Korea,Asia,83.6089,51844690,517.0722
KWT,Kuwait,Asia,76.9198,4360444,239.5821
LAO,Lao,Asia,68.4968,7319399,31.7968
LBN,Lebanon,Asia,77.8038,5662923,525.2334
LBR,Liberia,Africa,60.9476,5087584,47.6136
LBY,Libya,Africa,72.4722,6653942,3.8717
LCA,Saint Lucia,America,73.416,179237,291.9756
LIE,Liechtenstein,Europe,82.797,38756,245.7937
LSO,Lesotho,Africa,54.6933,2254100,75.962
LTU,Lithuania,Europe,75.0676,2820267,42.1142
LUX,Luxembourg,Europe,81.4335,630399,250.425
LVA,Latvia,Europe,75.4526,1897052,28.666
MAR,Morocco,Africa,73.9199,36688772,83.883
MCO,Monaco,Europe,86.538,36922,18234.5
MDA,Moldova,Europe,70.1665,3084847,96.7026
MDG,Madagascar,Africa,65.182,28225177,50.4423
MDV,Maldives,Asia,79.8747,514438,1745.9567
MEX,Mexico,America,70.1328,125998302,64.9082
MHL,Marshall Islands,Oceania,64.977,43413,229.663
MKD,North Macedonia,Europe,75.1677,2111072,81.4218
MLI,Mali,Africa,58.6331,21224040,18.2178
MLT,Malta,Europe,83.3545,515357,1687.6139
MMR,Myanmar,Asia,66.797,53423198,80.0784
MNE,Montenegro,Europe,76.2575,629048,45.4012
MNG,Mongolia,Asia,72.141,3294335,2.1727
MOZ,Mozambique,Africa,61.1722,31178239,41.1302
MRT,Mauritania,Africa,64.5321,4498604,4.5951
MWI,Malawi,Africa,63.7167,19377061,172.22
MUS,Mauritius,Africa,74.3306,1297828,636.9946
MYS,Malaysia,Asia,75.9378,33199993,102.5934
NAM,Namibia,Africa,62.829,2489098,3.1092
NER,Niger,Africa,61.4506,24333639,20.6851
NGA,Nigeria,Africa,52.887,208327405,236.5759
NIC,Nicaragua,America,71.7954,6755895,53.2962
NLD,Netherlands,Europe,81.6381,17434557,419.6897
NOR,Norway,Europe,83.1951,5379839,16.7828
NPL,Nepal,Asia,69.2456,29348627,207.5511
NRU,Nauru,Oceania,63.4367,12315,603.2381
NZL,New Zealand,Oceania,82.7419,5061133,19.1716
OMN,Oman,Asia,74.7571,4543399,14.7861
PAK,Pakistan,Asia,66.2695,227196741,267.4018
PAN,Panama,America,76.657,4294396,58.4561
PER,Peru,America,73.6655,33304756,26.4933
PHL,Philippines,Asia,72.1191,112190977,337.5434
PLW,Palau,Oceania,65.3491,17972,39.3355
PNG,Papua New Guinea,Oceania,65.7868,9749640,21.9139
POL,Poland,Europe,76.9424,38428366,127.4698
PRK,North Korea,Asia,73.2741,25867467,216.2755
PRT,Portugal,Europe,81.0545,10298192,111.5307
PRY,Paraguay,America,73.1816,6618695,16.6705
PSE,"Palestine, State of",Asia,74.4035,5019401,844.063
QAT,Qatar,Asia,79.0987,2760385,232.6189
ROU,Romania,Europe,75.3456,19442038,82.4665
RUS,Russian Federation,Europe,71.3423,145617329,8.4636
RWA,Rwanda,Africa,66.7741,13146362,523.0731
SAU,Saudi Arabia,Asia,76.2392,35997107,16.9368
SEN,Senegal,Africa,68.0064,16436119,88.025
SGP,Singapore,Asia,82.861,5909869,8416.4634
SLB,Solomon Islands,Oceania,70.1987,691191,25.0648
SLE,Sierra Leone,Africa,59.7632,8233969,119.957
SMR,San Marino,Europe,79.5886,34007,551.8033
SOM,Somalia,Africa,55.9666,16537016,27.5971
SRB,Serbia,Europe,75.4057,7358005,81.7257
SSD,South Sudan,Africa,55.4801,10606227,17.6091
STP,Sao Tome and Principe,Africa,67.7848,218641,235.8714
SVK,Slovakia,Europe,77.0054,5456681,115.0856
SVN,Slovenia,Europe,80.4409,2117641,104.5649
SYC,Seychelles,Africa,73.5324,105530,236.9867
VCT,Saint Vincent and the Grenadines,America,72.1256,104632,267.2185
WSM,Samoa,Oceania,72.7677,214929,78.2484
ZAF,South Africa,Africa,65.2522,58801927,49.0517
ESP,Spain,Europe,82.2892,47363807,93.9909
LKA,Sri Lanka,Asia,76.3929,21715079,332.7563
SDN,Sudan,Africa,65.6136,44440486,24.8529
SUR,Suriname,America,72.5615,607065,3.7727
SWE,Sweden,Europe,82.4274,10368969,23.4276
CHE,Switzerland,Europe,83.067,8638613,211.7157
SYR,Syrian Arab Republic,Asia,72.1399,20772595,119.4797
TJK,Tajikistan,Asia,67.9942,9543207,69.5513
TZA,Tanzania,Africa,66.4077,61704518,69.3034
THA,Thailand,Asia,79.2739,71475664,139.7276
TLS,Timor-Leste,Asia,68.4755,1299995,90.1772
TGO,Togo,Africa,61.035,8442580,155.8281
TON,Tonga,Oceania,70.9276,105254,143.0495
TTO,Trinidad and Tobago,America,74.4056,1518147,298.4491
TUN,Tunisia,Africa,75.2923,12161723,75.5218
TUR,Turkey,Asia,75.85,84135428,108.9145
TKM,Turkmenistan,Asia,68.687,6250438,13.1751
TUV,Tuvalu,Oceania,64.382,11069,435.0769
UGA,Uganda,Africa,62.8513,44404611,195.61
UKR,Ukraine,Europe,72.5726,43909666,65.7858
ARE,United Arab Emirates,Asia,78.9457,9287289,112.9322
GBR,United Kingdom,Europe,80.4345,67059474,277.9289
USA,United States,America,77.4144,335942003,36.0935
URY,Uruguay,America,78.4298,3429086,18.9069
UZB,Uzbekistan,Asia,70.3309,33526656,77.3975
VUT,Vanuatu,Oceania,70.2995,311685,26.8061
VEN,Venezuela,America,71.0949,28490453,30.882
VNM,Viet Nam,Asia,75.3779,96648685,296.4472
YEM,Yemen,Asia,64.6501,32284046,63.8232
ZMB,Zambia,Africa,62.3803,18927715,26.5976
ZWE,Zimbabwe,Africa,61.1242,15669666,41.7665
